Timestamp;Numpack;O1;O2;T3;T4;Timestamp_ms;label
128;63;-0,042449229;-0,0556912;-0,053199437;-0,056118065;1708638581728;Relax
129;64;-0,042362635;-0,055669838;-0,053167012;-0,056087929;1708638581728;Relax
130;64;-0,042336314;-0,055675941;-0,053128865;-0,056056648;1708638581728;Relax
131;65;-0,042367594;-0,05568853;-0,053108266;-0,056027275;1708638581728;Relax
132;65;-0,042389338;-0,055684334;-0,053087285;-0,056019264;1708638581728;Relax
133;66;-0,042324869;-0,055683952;-0,053062108;-0,055975395;1708638581728;Relax
134;66;-0,042257731;-0,055675941;-0,053042653;-0,055943352;1708638581728;Relax
135;67;-0,042238657;-0,055681282;-0,053024343;-0,055930763;1708638581744;Relax
136;67;-0,04228863;-0,055699211;-0,053007558;-0,055907494;1708638581744;Relax
137;68;-0,042293589;-0,055693489;-0,052981236;-0,055873161;1708638581744;Relax
138;68;-0,04223675;-0,055682808;-0,052950337;-0,055859047;1708638581744;Relax
139;69;-0,0421719;-0,055685478;-0,052920583;-0,05583921;1708638581744;Relax
140;69;-0,042157786;-0,055690056;-0,052904561;-0,055814415;1708638581744;Relax
141;70;-0,042189066;-0,055688148;-0,052887395;-0,055785423;1708638581744;Relax
142;70;-0,042198221;-0,055699592;-0,052866795;-0,05575605;1708638581744;Relax
143;71;-0,042162363;-0,055702644;-0,052849248;-0,055741173;1708638581774;Relax
144;71;-0,042090647;-0,055688911;-0,052825597;-0,05571714;1708638581774;Relax
145;72;-0,042070429;-0,055693489;-0,052818349;-0,055689293;1708638581774;Relax
146;72;-0,042097513;-0,055698829;-0,052782109;-0,055666404;1708638581774;Relax
147;73;-0,042128794;-0,05570684;-0,052763036;-0,055645424;1708638581790;Relax
148;73;-0,042091791;-0,055697303;-0,052745488;-0,055621391;1708638581790;Relax
149;74;-0,042018549;-0,055713707;-0,052726796;-0,055611473;1708638581790;Relax
150;74;-0,042002527;-0,055712181;-0,052716878;-0,055583244;1708638581790;Relax
151;75;-0,04205517;-0,055719429;-0,052708104;-0,055561119;1708638581790;Relax
152;75;-0,04205784;-0,055710655;-0,052674916;-0,0555512;1708638581790;Relax
153;76;-0,042010538;-0,055712562;-0,052658131;-0,055523353;1708638581837;Relax
154;76;-0,041950266;-0,055712562;-0,052641728;-0,055498558;1708638581837;Relax
155;77;-0,041932718;-0,055728203;-0,05261121;-0,055485969;1708638581837;Relax
156;77;-0,041975061;-0,05574041;-0,052607014;-0,055469566;1708638581837;Relax
157;78;-0,041981546;-0,055732017;-0,052587941;-0,055445533;1708638581853;Relax
158;78;-0,041946833;-0,055749946;-0,052567723;-0,0554318;1708638581853;Relax
159;79;-0,041888468;-0,055741173;-0,052546742;-0,055408149;1708638581853;Relax
160;79;-0,041875879;-0,055734306;-0,052534535;-0,055391364;1708638581853;Relax
161;80;-0,041918604;-0,055753761;-0,052528813;-0,055371528;1708638581853;Relax
162;80;-0,041933863;-0,055755668;-0,052520802;-0,055359321;1708638581853;Relax
163;81;-0,041875879;-0,055741935;-0,052498677;-0,055326896;1708638581853;Relax
164;81;-0,041815607;-0,055737358;-0,052476552;-0,05529943;1708638581853;Relax
165;82;-0,041817133;-0,055753761;-0,052462437;-0,05528646;1708638581853;Relax
166;82;-0,04186825;-0,055774742;-0,052464344;-0,055282264;1708638581853;Relax
167;83;-0,041876642;-0,055783516;-0,052438405;-0,05527349;1708638581853;Relax
168;83;-0,041831629;-0,055780082;-0,052434208;-0,055257087;1708638581853;Relax
169;84;-0,04177479;-0,055779701;-0,052430012;-0,055245261;1708638581869;Relax
170;84;-0,041782419;-0,05578733;-0,052393391;-0,055237251;1708638581869;Relax
171;85;-0,041810648;-0,055799537;-0,052391484;-0,055214362;1708638581869;Relax
172;85;-0,04181904;-0,055812126;-0,052377369;-0,055197578;1708638581869;Relax
173;86;-0,041786615;-0,055798775;-0,0523541;-0,055192619;1708638581901;Relax
174;86;-0,041717951;-0,055802208;-0,052337315;-0,055162864;1708638581901;Relax
175;87;-0,041704981;-0,055806785;-0,052323963;-0,055149894;1708638581901;Relax
176;87;-0,041748087;-0,055823189;-0,052314045;-0,055127006;1708638581901;Relax
177;88;-0,041777078;-0,05583654;-0,05230222;-0,055114799;1708638581933;Relax
178;88;-0,041730158;-0,055822426;-0,052287342;-0,055104117;1708638581933;Relax
179;89;-0,041667978;-0,055829292;-0,052275517;-0,055097251;1708638581933;Relax
180;89;-0,041659204;-0,05583387;-0,052269032;-0,055077415;1708638581933;Relax
181;90;-0,041717951;-0,055848747;-0,05226865;-0,055068641;1708638581933;Relax
182;90;-0,041727869;-0,055864387;-0,052259876;-0,055051093;1708638581933;Relax
183;91;-0,041677896;-0,055857139;-0,052244999;-0,055035453;1708638581949;Relax
184;91;-0,041625253;-0,055855614;-0,052238514;-0,055028205;1708638581949;Relax
185;92;-0,041627542;-0,055866295;-0,052223255;-0,05501905;1708638581949;Relax
186;92;-0,041675989;-0,055888801;-0,052212193;-0,055011802;1708638581949;Relax
187;93;-0,041696207;-0,055898338;-0,052206089;-0,054999595;1708638581949;Relax
188;93;-0,041659586;-0,055899483;-0,052197697;-0,054985099;1708638581949;Relax
189;94;-0,041592828;-0,055894142;-0,052184345;-0,054972892;1708638581949;Relax
190;94;-0,041590921;-0,055912071;-0,05217786;-0,054975181;1708638581949;Relax
191;95;-0,041640512;-0,055921226;-0,05217519;-0,054953818;1708638581965;Relax
192;95;-0,041677896;-0,055939156;-0,052168324;-0,054941611;1708638581965;Relax
193;96;-0,041614191;-0,05594297;-0,052150776;-0,054927497;1708638581965;Relax
194;96;-0,04155697;-0,055931526;-0,05213361;-0,05491796;1708638581965;Relax
195;97;-0,0415543;-0,055937248;-0,052134373;-0,054913382;1708638581997;Relax
196;97;-0,041617624;-0,055964333;-0,052125218;-0,054897742;1708638581997;Relax
197;98;-0,041620294;-0,055961281;-0,052117207;-0,054882865;1708638581997;Relax
198;98;-0,04157757;-0,055965858;-0,0520947;-0,054875617;1708638581997;Relax
199;99;-0,041529504;-0,055970818;-0,052082874;-0,054872947;1708638582029;Relax
200;99;-0,041526453;-0,05598455;-0,052077915;-0,054867988;1708638582029;Relax
201;100;-0,041574518;-0,056007439;-0,052074101;-0,054854255;1708638582029;Relax
202;100;-0,041593591;-0,056011253;-0,05206876;-0,054844336;1708638582029;Relax
203;101;-0,041553537;-0,056010872;-0,05205846;-0,054837851;1708638582029;Relax
204;101;-0,041494791;-0,056021935;-0,05204549;-0,054831366;1708638582029;Relax
205;102;-0,041480676;-0,056020027;-0,052036335;-0,054819922;1708638582029;Relax
206;102;-0,041532938;-0,056042534;-0,052035191;-0,054807715;1708638582029;Relax
207;103;-0,041568414;-0,056055504;-0,052035191;-0,054800849;1708638582029;Relax
208;103;-0,041529886;-0,056042152;-0,052020313;-0,054788642;1708638582029;Relax
209;104;-0,041461221;-0,056037193;-0,052012684;-0,054779868;1708638582029;Relax
210;104;-0,041458169;-0,05606237;-0,051996281;-0,054768805;1708638582029;Relax
211;105;-0,041521875;-0,056076103;-0,051997044;-0,054758506;1708638582045;Relax
212;105;-0,041529504;-0,056062752;-0,051987888;-0,054742102;1708638582045;Relax
213;106;-0,041484491;-0,056069237;-0,05198064;-0,05473638;1708638582045;Relax
214;106;-0,041434518;-0,056080681;-0,051971485;-0,054726844;1708638582045;Relax
215;107;-0,041431085;-0,056084114;-0,05196233;-0,054719596;1708638582045;Relax
216;107;-0,041482584;-0,056096321;-0,051957752;-0,054705481;1708638582045;Relax
217;108;-0,041496698;-0,056100136;-0,051956608;-0,054695563;1708638582061;Relax
218;108;-0,041468851;-0,056115013;-0,051949741;-0,054696326;1708638582061;Relax
219;109;-0,041405527;-0,056116158;-0,051931431;-0,054686789;1708638582061;Relax
220;109;-0,041396371;-0,056120354;-0,051927616;-0,054679541;1708638582061;Relax
221;110;-0,041454355;-0,056144005;-0,051931431;-0,054671912;1708638582076;Relax
222;110;-0,041480295;-0,056153542;-0,051927616;-0,054666953;1708638582076;Relax
223;111;-0,041429941;-0,056160408;-0,051919224;-0,054665808;1708638582076;Relax
224;111;-0,04138302;-0,056158882;-0,051908543;-0,054660849;1708638582076;Relax
225;112;-0,041376535;-0,056163078;-0,051899387;-0,054651694;1708638582092;Relax
226;112;-0,041441385;-0,056177574;-0,051898243;-0,054634528;1708638582092;Relax
