_id;timestamp;experiment;O1;O2;T3;T4;timestamp_ms;label
;2024-02-27T21:25:18,255Z;37;-1,55162000000000;2,87798000000000;3,62636000000000;0,38499300000000;1709069118255;Noise
;2024-02-27T21:25:18,260Z;37;-0,43618800000000;3,22205000000000;4,32925000000000;0,38499300000000;1709069118260;Noise
;2024-02-27T21:25:18,264Z;37;-0,43618800000000;3,22205000000000;4,32925000000000;0,00463400000000;1709069118264;Noise
;2024-02-27T21:25:18,269Z;37;-0,43618800000000;3,22205000000000;4,32925000000000;0,00463400000000;1709069118268;Noise
;2024-02-27T21:25:18,273Z;37;-0,43618800000000;3,15934000000000;2,55659000000000;0,72566500000000;1709069118273;Noise
;2024-02-27T21:25:18,278Z;37;-1,11604000000000;3,15414000000000;0,88818700000000;0,08918600000000;1709069118278;Noise
;2024-02-27T21:25:18,284Z;37;-1,11604000000000;3,15414000000000;0,88818700000000;0,08918600000000;1709069118283;Noise
;2024-02-27T21:25:18,289Z;37;-0,11411400000000;0,23619000000000;4,46869000000000;0,10950500000000;1709069118289;Noise
;2024-02-27T21:25:18,293Z;37;-0,11411400000000;0,23619000000000;4,46869000000000;0,10950500000000;1709069118293;Noise
;2024-02-27T21:25:18,298Z;37;-0,11411400000000;0,23619000000000;4,46869000000000;0,10950500000000;1709069118298;Noise
;2024-02-27T21:25:18,303Z;37;0,05560580000000;1,58691000000000;4,46039000000000;-0,14161600000000;1709069118302;Noise
;2024-02-27T21:25:18,308Z;37;0,13656800000000;2,09493000000000;2,42349000000000;0,46524500000000;1709069118308;Noise
;2024-02-27T21:25:18,313Z;37;0,13656800000000;2,09493000000000;2,42349000000000;0,46524500000000;1709069118313;Noise
;2024-02-27T21:25:18,317Z;37;0,06070580000000;2,93569000000000;1,63098000000000;0,91413400000000;1709069118317;Noise
;2024-02-27T21:25:18,322Z;37;0,77827200000000;2,88349000000000;1,33843000000000;0,06190600000000;1709069118322;Noise
;2024-02-27T21:25:18,327Z;37;0,77827200000000;2,88349000000000;1,33843000000000;0,06190600000000;1709069118327;Noise
;2024-02-27T21:25:18,331Z;37;0,77827200000000;2,88349000000000;1,33843000000000;0,06190600000000;1709069118331;Noise
;2024-02-27T21:25:18,336Z;37;0,65307800000000;1,35304000000000;1,59068000000000;0,04931350000000;1709069118335;Noise
;2024-02-27T21:25:18,340Z;37;0,65307800000000;1,35304000000000;1,59068000000000;0,04931350000000;1709069118340;Noise
;2024-02-27T21:25:18,345Z;37;0,65307800000000;1,35304000000000;1,59068000000000;0,04931350000000;1709069118345;Noise
;2024-02-27T21:25:18,349Z;37;1,94016000000000;1,11783000000000;0,77296900000000;0,01051000000000;1709069118349;Noise
;2024-02-27T21:25:18,355Z;37;1,94016000000000;1,11783000000000;0,77296900000000;0,01051000000000;1709069118354;Noise
;2024-02-27T21:25:18,360Z;37;1,94016000000000;1,11783000000000;0,77296900000000;0,01051000000000;1709069118359;Noise
;2024-02-27T21:25:18,365Z;37;1,46303000000000;0,94291300000000;1,20094000000000;1,10304000000000;1709069118364;Noise
;2024-02-27T21:25:18,369Z;37;0,84771100000000;0,00715500000000;0,60542700000000;0,59040900000000;1709069118369;Noise
;2024-02-27T21:25:18,374Z;37;0,84771100000000;0,00715500000000;0,60542700000000;0,59040900000000;1709069118374;Noise
;2024-02-27T21:25:18,379Z;37;0,91989700000000;0,66606300000000;-0,70408800000000;0,33214100000000;1709069118379;Noise
;2024-02-27T21:25:18,383Z;37;0,91989700000000;0,66606300000000;-0,70408800000000;0,33214100000000;1709069118383;Noise
;2024-02-27T21:25:18,388Z;37;0,91989700000000;0,66606300000000;-0,70408800000000;0,33214100000000;1709069118388;Noise
;2024-02-27T21:25:18,393Z;37;0,52085800000000;0,01100340000000;-1,22293000000000;-0,20252500000000;1709069118393;Noise
;2024-02-27T21:25:18,398Z;37;0,52085800000000;-0,59259100000000;-0,97679300000000;-0,61223300000000;1709069118398;Noise
;2024-02-27T21:25:18,403Z;37;0,52085800000000;-0,59259100000000;-0,97679300000000;-0,61223300000000;1709069118403;Noise
;2024-02-27T21:25:18,408Z;37;1,02271000000000;-0,31430400000000;0,15654400000000;-0,03487860000000;1709069118408;Noise
;2024-02-27T21:25:18,413Z;37;0,15391000000000;-0,02651700000000;0,69542600000000;0,44886800000000;1709069118413;Noise
;2024-02-27T21:25:18,419Z;37;0,15391000000000;-0,02651700000000;0,69542600000000;0,44886800000000;1709069118418;Noise
